latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.21674,36.05568,329.24,0.41,0.37,2020-01-16,1042,N,VIIRS,n,2,288.32,2.93,D,0
38.65059,39.77054,352.38,0.38,0.44,2020-01-16,1042,N,VIIRS,n,2,284.89,10.15,D,2
38.65102,39.77235,348.41,0.39,0.44,2020-01-16,1042,N,VIIRS,n,2,285.74,7.84,D,2
38.65059,39.76789,330.51,0.39,0.44,2020-01-16,1042,N,VIIRS,n,2,282.91,3.52,D,2
38.50912,38.18539,329.34,0.49,0.4,2020-01-16,1042,N,VIIRS,n,2,284.72,6.1,D,0
38.97782,38.84643,327.98,0.53,0.42,2020-01-16,1042,N,VIIRS,n,2,288.98,2.49,D,0
38.08846,30.94201,327.09,0.42,0.38,2020-01-16,1042,N,VIIRS,n,2,282.96,1.52,D,0
38.09187,30.94105,326.6,0.42,0.38,2020-01-16,1042,N,VIIRS,n,2,280.22,1.52,D,3
38.15478,30.97292,328.99,0.42,0.38,2020-01-16,1042,N,VIIRS,n,2,285.74,2.78,D,0
38.19585,30.02714,344.95,0.45,0.39,2020-01-16,1042,N,VIIRS,n,2,284.57,9.4,D,0
38.19936,30.02611,339.41,0.45,0.39,2020-01-16,1042,N,VIIRS,n,2,281.1,8.29,D,0
39.35672,34.63128,342.01,0.39,0.36,2020-01-16,1042,N,VIIRS,n,2,286.05,10.85,D,0
41.17585,32.63331,326.69,0.38,0.36,2020-01-16,1043,N,VIIRS,n,2,284.74,3.49,D,2
41.17878,32.63457,303.05,0.32,0.55,2020-01-16,2301,N,VIIRS,n,2,277.31,1.05,N,2
41.17367,32.63406,309.34,0.32,0.55,2020-01-16,2301,N,VIIRS,n,2,271.69,0.85,N,2
41.17679,32.63491,312.67,0.32,0.55,2020-01-16,2301,N,VIIRS,n,2,277.13,1.58,N,2
38.65202,39.77344,325.91,0.43,0.38,2020-01-16,2301,N,VIIRS,n,2,269.29,3.42,N,2
37.96152,41.70145,296.55,0.39,0.36,2020-01-16,2302,N,VIIRS,n,2,271.57,0.56,N,2
41.17691,32.6318,298.06,0.46,0.63,2020-01-17,0041,N,VIIRS,n,2,272.31,1.58,N,2
38.74164,26.94768,300.69,0.55,0.51,2020-01-17,0042,N,VIIRS,n,2,278.21,1.3,N,2
38.73708,26.94588,304.99,0.55,0.51,2020-01-17,0042,N,VIIRS,n,2,283.23,1.3,N,2
38.73258,26.96416,296.71,0.55,0.51,2020-01-17,0042,N,VIIRS,n,2,276.7,0.58,N,2
39.68378,39.58052,328.94,0.4,0.37,2020-01-17,1023,N,VIIRS,n,2,286.04,2.3,D,0
36.86871,34.76271,301.66,0.41,0.61,2020-01-17,2243,N,VIIRS,n,2,277.74,1.19,N,2
36.74065,36.21225,308.01,0.34,0.56,2020-01-17,2243,N,VIIRS,n,2,278.81,1.37,N,2
36.74072,36.21051,305.96,0.34,0.56,2020-01-17,2243,N,VIIRS,n,2,280.46,2.36,N,2
38.65771,30.62112,300.36,0.49,0.49,2020-01-18,0023,N,VIIRS,n,2,269.75,1.57,N,2
36.71761,36.19889,298.08,0.53,0.67,2020-01-18,0023,N,VIIRS,n,2,277.28,1.96,N,2
36.71946,36.19977,296.95,0.53,0.67,2020-01-18,0023,N,VIIRS,n,2,277.13,1.93,N,2
